,datetime,time_to_next_eruption,time_since_last_eruption,Wind Speed,RH,Temp,Wind Cumsum
309,1992-05-06 00:40:00+00:00,5760.0,5760.0,7.0,18.0,66.0,21.0
310,1992-05-06 15:42:00+00:00,11160.0,5940.0,8.0,18.0,63.0,18.0
311,1992-05-06 18:48:00+00:00,11160.0,11160.0,1.0,43.0,45.0,8.0
312,1992-05-06 21:54:00+00:00,5940.0,11160.0,0.0,50.0,40.0,0.0
313,1992-05-06 23:33:00+00:00,5820.0,5940.0,3.0,14.0,68.0,26.0
314,1992-05-07 16:21:00+00:00,5880.0,5940.0,6.0,15.0,67.0,6.0
315,1992-05-07 17:59:00+00:00,5880.0,5880.0,0.0,68.0,45.0,68.0
316,1992-05-08 18:26:00+00:00,11820.0,5820.0,7.0,79.0,43.0,7.0
317,1992-05-08 21:43:00+00:00,5580.0,11820.0,2.0,82.0,40.0,4.0
318,1992-05-08 23:16:00+00:00,5700.0,5580.0,2.0,81.0,39.0,2.0
319,1992-05-09 00:51:00+00:00,5700.0,5700.0,0.0,82.0,35.0,1.0
320,1992-05-09 02:26:00+00:00,6180.0,5700.0,15.0,49.0,45.0,180.0
321,1992-05-10 15:15:00+00:00,6420.0,6540.0,9.0,49.0,45.0,25.0
322,1992-05-10 17:02:00+00:00,5880.0,6420.0,13.0,44.0,47.0,13.0
323,1992-05-10 18:40:00+00:00,6360.0,5880.0,14.0,47.0,44.0,23.0
324,1992-05-10 20:26:00+00:00,6120.0,6360.0,6.0,28.0,48.0,349.0
325,1992-05-12 17:56:00+00:00,6120.0,6000.0,5.0,31.0,46.0,12.0
326,1992-05-12 19:38:00+00:00,11880.0,6120.0,9.0,35.0,53.0,46.0
327,1992-05-13 15:41:00+00:00,5940.0,6060.0,6.0,53.0,48.0,9.0
328,1992-05-13 17:20:00+00:00,6120.0,5940.0,3.0,41.0,54.0,64.0
329,1992-05-14 16:45:00+00:00,6120.0,12000.0,8.0,31.0,57.0,8.0
330,1992-05-14 18:27:00+00:00,5640.0,6120.0,1.0,81.0,39.0,40.0
331,1992-05-15 16:03:00+00:00,5820.0,6000.0,7.0,30.0,55.0,29.0
332,1992-05-16 15:53:00+00:00,11040.0,5820.0,5.0,27.0,53.0,17.0
333,1992-05-16 18:57:00+00:00,6000.0,11040.0,8.0,32.0,60.0,44.0
334,1992-05-17 15:21:00+00:00,6300.0,6120.0,8.0,28.0,61.0,16.0
335,1992-05-17 17:06:00+00:00,12000.0,6300.0,7.0,46.0,52.0,15.0
336,1992-05-17 20:26:00+00:00,6240.0,12000.0,10.0,22.0,63.0,109.0
337,1992-05-18 18:29:00+00:00,6240.0,5880.0,0.0,28.0,55.0,6.0
338,1992-05-18 20:13:00+00:00,5880.0,6240.0,2.0,37.0,50.0,2.0
